chunk_id,word_count,char_count,chunk_text,source_file,publication_year,source_title,section,header_level,page_number,avg_word_length,read_time_sec,metadata
chunk_0001,174,1119,"## Chapter 1 Introduction to First Aid

This guide covers a wide range of information that will help you respond appropriately in a first aid or medical emergency. The introductory chapter contains background information, definitions and other material related to giving first aid. Chapter 2 explains casualty management including issues that relate to assessment of the casualty. This chapter also includes topics that are important to understand in the first critical moments at the emergency scene. Chapter 5 deals with issues of particular interest to health care providers- responders with a specific duty to respond within the health care system.

This guide is used to support the teaching of these and other courses:

• Standard and Emergency First Aid

• Basic and Intermediate First Aid

• CPR at all levels including Basic Life Support/Health Care Provider (BLS/HCP)

Some content contained in this guide will not pertain specifically to the level of training you have received. First aiders should always remember not to exceed their training, or the regulations/ legislation of their province or territory.",First aid reference guide_V4.1_Public.pdf,2019,"First Aid Reference Guide, 4th Edition — St. John Ambulance Canada",Chapter 1 Introduction to First Aid,2,,6.43,52.2,"{'chunk_id': 'chunk_0001', 'source_title': 'First Aid Reference Guide, 4th Edition — St. John Ambulance Canada', 'source_file': 'First aid reference guide_V4.1_Public.pdf', 'publication_year': 2019, 'section': 'Chapter 1 Introduction to First Aid', 'header_level': 2, 'page_number': None, 'word_count': 174, 'char_count': 1119, 'avg_word_length': 6.43, 'read_time_sec': 52.2}"
chunk_0002,76,427,"## What is first aid?

First aid is emergency help given to an injured or suddenly ill person using readily available materials. A person who takes charge of an emergency scene and gives first aid is called a first aider. The injured or ill person is called a casualty.

The three priorities of first aid, in order of importance, are to:

• Preserve life

• Prevent the illness or injury from becoming worse

• Promote recovery",First aid reference guide_V4.1_Public.pdf,2019,"First Aid Reference Guide, 4th Edition — St. John Ambulance Canada",What is first aid?,2,,5.62,22.8,"{'chunk_id': 'chunk_0002', 'source_title': 'First Aid Reference Guide, 4th Edition — St. John Ambulance Canada', 'source_file': 'First aid reference guide_V4.1_Public.pdf', 'publication_year': 2019, 'section': 'What is first aid?', 'header_level': 2, 'page_number': None, 'word_count': 76, 'char_count': 427, 'avg_word_length': 5.62, 'read_time_sec': 22.8}"
chunk_0003,200,1200,"## What can a first aider do?

First aiders do not diagnose or treat injuries or illnesses (except, perhaps, when they are very minor)- this is what medical doctors do. A first aider suspects injuries and illnesses , and gives first aid at the scene. Besides giving first aid, it is important to: • Protect the casualty's belongings • Keep unnecessary people away • Reassure family or friends of the casualty • Clean up the emergency scene and work to correct any unsafe conditions that may have caused the injuries in the first place First aiders within a workplace may have obligations and protections under federal, provincial, and territorial legislation regarding administering medications. Refer to federal, provincial, or territorial legislation and regulations for the requirements in your area. When assisting with medications, the first aider should check the label and ensure the following '5- rights' are met: • Right Person - the name of the casualty is the name on the medication • Right Medication - is this the right medication for this situation? • Right Amount - what are the dosing instructions • Right Method - how is this medication to be taken? (By mouth, inhaled, etc.) • Right",First aid reference guide_V4.1_Public.pdf,2019,"First Aid Reference Guide, 4th Edition — St. John Ambulance Canada",What can a first aider do?,2,,6.0,60.0,"{'chunk_id': 'chunk_0003', 'source_title': 'First Aid Reference Guide, 4th Edition — St. John Ambulance Canada', 'source_file': 'First aid reference guide_V4.1_Public.pdf', 'publication_year': 2019, 'section': 'What can a first aider do?', 'header_level': 2, 'page_number': None, 'word_count': 200, 'char_count': 1200, 'avg_word_length': 6.0, 'read_time_sec': 60.0}"
chunk_0004,143,843,"## What can a first aider do?

have obligations and protections under federal, provincial, and territorial legislation regarding administering medications. Refer to federal, provincial, or territorial legislation and regulations for the requirements in your area. When assisting with medications, the first aider should check the label and ensure the following '5- rights' are met: • Right Person - the name of the casualty is the name on the medication • Right Medication - is this the right medication for this situation? • Right Amount - what are the dosing instructions • Right Method - how is this medication to be taken? (By mouth, inhaled, etc.) • Right Time - is this the right time to take this medication?

## What can a first aider do?

taken? (By mouth, inhaled, etc.) • Right Time - is this the right time to take this medication?",First aid reference guide_V4.1_Public.pdf,2019,"First Aid Reference Guide, 4th Edition — St. John Ambulance Canada",What can a first aider do?,2,,5.9,42.9,"{'chunk_id': 'chunk_0004', 'source_title': 'First Aid Reference Guide, 4th Edition — St. John Ambulance Canada', 'source_file': 'First aid reference guide_V4.1_Public.pdf', 'publication_year': 2019, 'section': 'What can a first aider do?', 'header_level': 2, 'page_number': None, 'word_count': 143, 'char_count': 843, 'avg_word_length': 5.9, 'read_time_sec': 42.9}"
chunk_0005,155,863,"## A casualty's age in first aid and CPR

The procedures related to the provision of first aid and cardiopulmonary resuscitation (CPR) differ in some ways, depending on the age and size of the casualty.

In first aid and CPR:

• An infant casualty is under one year old

• A child casualty is from age one to age eight

• An adult casualty is over eight years of age

It is important to recognize that these ages are guidelines. The size of the casualty must be considered.

## First Aid in the Workplace

Workplace first aid is emergency care given by a person who is trained (and designated) to be the first aid provider to a co- worker who is injured or suddenly ill. All provinces and territories have a provision within legislation relating to first aid in the workplace. Refer to your provincial or territorial regulations for what is required in your area.",First aid reference guide_V4.1_Public.pdf,2019,"First Aid Reference Guide, 4th Edition — St. John Ambulance Canada",A casualty's age in first aid and CPR,2,,5.57,46.5,"{'chunk_id': 'chunk_0005', 'source_title': 'First Aid Reference Guide, 4th Edition — St. John Ambulance Canada', 'source_file': 'First aid reference guide_V4.1_Public.pdf', 'publication_year': 2019, 'section': ""A casualty's age in first aid and CPR"", 'header_level': 2, 'page_number': None, 'word_count': 155, 'char_count': 863, 'avg_word_length': 5.57, 'read_time_sec': 46.5}"
chunk_0006,161,932,"## Giving first aid as part of your job

When giving first aid is part of your job, you have a duty to use reasonable skill and care based on your level of training. There are regulations to protect the first aider. For example in workplaces regulated by the Canada Labour Code, Section 126(3) of the Code states:

'No employee is personally liable for anything done or omitted to be done in good faith by the employee when the employee is assisting the employer, as requested by the employer, in providing first- aid or in carrying out any other emergency measures.'

Every workplace in Canada is required under federal, provincial, or territorial regulations to have a first aid kit. The size and contents of the first aid kit will be determined by those regulations. First aid providers are encouraged to be familiar with the contents of their workplace first aid kit, its location, and to conduct regular inspections of the kit.",First aid reference guide_V4.1_Public.pdf,2019,"First Aid Reference Guide, 4th Edition — St. John Ambulance Canada",Giving first aid as part of your job,2,,5.79,48.3,"{'chunk_id': 'chunk_0006', 'source_title': 'First Aid Reference Guide, 4th Edition — St. John Ambulance Canada', 'source_file': 'First aid reference guide_V4.1_Public.pdf', 'publication_year': 2019, 'section': 'Giving first aid as part of your job', 'header_level': 2, 'page_number': None, 'word_count': 161, 'char_count': 932, 'avg_word_length': 5.79, 'read_time_sec': 48.3}"
chunk_0007,97,583,"## First Aid as part of OHS

Provincial and territorial regulations and legislation contain requirements for first aid training in their jurisdiction. Most regulations require at least one designated first aid provider at work at all times. The level of training required by the first aid provider will depend on the size of the workplace, the distance to medical help, and the risk of injury in the workplace.

To help ensure compliance with regulations, it is recommended to have more than one person on each shift trained in first aid to account for holidays, illness, and breaks.",First aid reference guide_V4.1_Public.pdf,2019,"First Aid Reference Guide, 4th Edition — St. John Ambulance Canada",First Aid as part of OHS,2,,6.01,29.1,"{'chunk_id': 'chunk_0007', 'source_title': 'First Aid Reference Guide, 4th Edition — St. John Ambulance Canada', 'source_file': 'First aid reference guide_V4.1_Public.pdf', 'publication_year': 2019, 'section': 'First Aid as part of OHS', 'header_level': 2, 'page_number': None, 'word_count': 97, 'char_count': 583, 'avg_word_length': 6.01, 'read_time_sec': 29.1}"
chunk_0008,129,827,"## OHS Legislation

Provinces and territories are responsible for establishing Occupational Health and Safety legislation to protect workers. All workplaces that fall under provincial or territorial jurisdiction concerning regulations are required to adhere to the legislation and regulations of that province or territory. Those work places that fall under federal jurisdiction are subject to the Canada Labour Code.

Housed within the legislation and regulations are provisions for adequate first aid coverage for a workplace, usually based on some or all of the following:

• The number of workers

• The potential risks

• The distance from medical care

## First aid and the law

Note that St. John Ambulance is not giving legal advice. This guide is not intended to replace advice given by a lawyer or legal professional.",First aid reference guide_V4.1_Public.pdf,2019,"First Aid Reference Guide, 4th Edition — St. John Ambulance Canada",OHS Legislation,2,,6.41,38.7,"{'chunk_id': 'chunk_0008', 'source_title': 'First Aid Reference Guide, 4th Edition — St. John Ambulance Canada', 'source_file': 'First aid reference guide_V4.1_Public.pdf', 'publication_year': 2019, 'section': 'OHS Legislation', 'header_level': 2, 'page_number': None, 'word_count': 129, 'char_count': 827, 'avg_word_length': 6.41, 'read_time_sec': 38.7}"
chunk_0009,136,734,"## Principles of the Good Samaritan

Across Canada Good Samaritan laws and principles protect first aiders from lawsuits. You are a Good Samaritan if you are a bystander who helps a person when you have no legal duty to do so. As a Good Samaritan, you give your help without being paid, and you give it in good faith. Whenever you help a person in an emergency situation, you should abide by the following principles:

• You identify yourself as a first aider and get permission to help the injured or ill person before you touch them- this is called consent

• You use reasonable skill and care in accordance with the level of knowledge and skill that you have

• You are not negligent in what you do

• You do not abandon the person",First aid reference guide_V4.1_Public.pdf,2019,"First Aid Reference Guide, 4th Edition — St. John Ambulance Canada",Principles of the Good Samaritan,2,,5.4,40.8,"{'chunk_id': 'chunk_0009', 'source_title': 'First Aid Reference Guide, 4th Edition — St. John Ambulance Canada', 'source_file': 'First aid reference guide_V4.1_Public.pdf', 'publication_year': 2019, 'section': 'Principles of the Good Samaritan', 'header_level': 2, 'page_number': None, 'word_count': 136, 'char_count': 734, 'avg_word_length': 5.4, 'read_time_sec': 40.8}"
chunk_0010,184,977,"## Consent

The law says everyone has the right not to be touched by others. As a first aider, you must respect this right.

Always ask if you can help. If the casualty cannot answer, you have what is called implied consent, and you can help.

If the casualty is an infant or a young child, you must get consent from the child's parent or guardian. If there is no parent or guardian at the scene, the law assumes the casualty would give consent if they could, so you have implied consent to help.

A person has the right to refuse your offer of help. In this case, do not force first aid on a conscious casualty. If you do not have consent to help, there may be other actions you can take without touching the casualty, such as controlling the scene, and calling for medical help.

Be aware of difficulties in communicating when a casualty:

• Is hard of hearing

• Speaks a different language

• Is visually impaired

• Is a child

• Is in pain

• Shows signs of mood disorder",First aid reference guide_V4.1_Public.pdf,2019,"First Aid Reference Guide, 4th Edition — St. John Ambulance Canada",Consent,2,,5.31,55.2,"{'chunk_id': 'chunk_0010', 'source_title': 'First Aid Reference Guide, 4th Edition — St. John Ambulance Canada', 'source_file': 'First aid reference guide_V4.1_Public.pdf', 'publication_year': 2019, 'section': 'Consent', 'header_level': 2, 'page_number': None, 'word_count': 184, 'char_count': 977, 'avg_word_length': 5.31, 'read_time_sec': 55.2}"
